2.22,1.02,0.67,1.09
0.76,1.04,0.15,3.05
1.73,0.17,0.8,2.3
0.5,0.03,0.02,4.45
0.49,1.18,1.34,1.99
1.98,0.5,1.06,1.46
1.61,0.73,2.03,0.63
1.84,0.47,0.32,2.37
0.17,3.06,1.15,0.62
1.35,2.13,0.84,0.68
1.52,2.24,1.15,0.09
1.2,0.8,0.45,2.55
1.69,0.24,1.45,1.62
0.64,0.57,2.65,1.14
1.24,0.8,0.23,2.73
1.64,0.95,1.43,0.98
2.13,1.9,0.01,0.96
1.38,2.38,0.94,0.3
0.15,1.75,0.36,2.74
1.1,0.01,2.25,1.64
0.26,0.77,2.75,1.22
0.74,1.8,0.05,2.41
2.18,0.9,1.44,0.48
1.85,0.89,1.88,0.38
0.14,1.46,3.01,0.39
0.58,0.2,2.07,2.15
0.69,1.22,0.44,2.65
0.55,1.51,0.24,2.7
0.06,1.12,1.28,2.54
1.37,0.04,0.38,3.21
1.31,1.54,0.18,1.97
1.17,1.48,2.11,0.24
1.57,0.21,1.25,1.97
1.85,1.14,0.16,1.85
2.35,1.71,0.37,0.57
1.39,2.23,0.63,0.75
0.17,3.21,0.11,1.51
1.26,2.47,1.03,0.24
1.28,0.85,0.77,2.1
1.63,0.54,1.22,1.61
1.67,0.18,2.86,0.29
0.86,2.52,1.42,0.2
0.31,0.44,0.5,3.75
1.41,0.4,0.92,2.27
1.22,0.31,1.11,2.36
0.59,1.18,0.32,2.91
2.41,1.08,0.15,1.36
2.18,0.68,0.41,1.73
0.83,2.15,1.9,0.12
0.15,1.83,1.84,1.18
2.25,0.19,1.97,0.59
2.24,1.03,1.14,0.59
1.15,1.8,1.3,0.75
1.39,0.46,2.0,1.15
2.21,1.64,0.65,0.5
0.69,0.15,2.99,1.17
0.01,2.95,0.13,1.91
1.57,1.54,0.28,1.61
1.86,0.45,1.87,0.82
0.9,2.68,0.52,0.9
0.08,1.92,0.21,2.79
1.01,0.3,0.87,2.82
2.49,1.25,0.22,1.04
1.93,0.12,1.63,1.32
2.49,1.04,0.75,0.72
1.71,0.97,0.82,1.5
2.4,0.67,0.98,0.95
1.16,1.82,0.01,2.01
0.72,0.8,2.73,0.75
0.91,2.11,1.59,0.39
0.24,1.52,1.31,1.93
0.61,1.1,1.65,1.64
2.03,0.15,0.01,2.81
1.56,1.69,1.37,0.38
0.98,2.19,0.06,1.77
1.83,1.27,0.92,0.98
0.1,0.55,3.29,1.06
1.54,0.89,1.12,1.45
1.89,0.49,1.64,0.98
0.01,2.13,1.95,0.91
0.74,0.04,3.69,0.53
0.55,1.65,2.5,0.3
1.64,0.98,2.12,0.26
0.83,2.25,1.37,0.55
2.08,1.21,0.36,1.35
0.03,3.12,1.21,0.64
1.95,1.09,1.06,0.9
0.75,0.07,2.91,1.27
1.04,0.2,3.41,0.35
1.05,1.58,0.71,1.66
0.69,0.79,1.14,2.38
0.69,1.27,1.29,1.75
0.41,2.65,1.79,0.15
2.48,1.26,0.07,1.19
1.25,2.17,0.32,1.26
0.2,2.68,2.01,0.11
1.13,2.29,0.85,0.73
0.5,0.57,3.02,0.91
2.43,0.91,1.19,0.47
2.31,1.56,0.44,0.69
