0.05,1.8,0.52,2.63
2.34,0.97,0.47,1.22
0.5,0.33,3.03,1.14
2.22,0.95,1.02,0.81
1.43,0.64,2.23,0.7
0.61,2.37,0.76,1.26
0.52,2.74,0.99,0.75
0.27,2.94,0.03,1.76
1.54,1.11,1.87,0.48
1.68,1.05,1.72,0.55
1.73,0.29,2.47,0.51
0.28,0.75,2.34,1.63
0.44,1.74,0.63,2.19
1.42,0.14,2.69,0.75
1.87,1.24,0.9,0.99
1.59,0.89,2.48,0.04
0.99,0.71,2.13,1.17
1.49,1.77,0.83,0.91
1.0,1.94,0.83,1.23
0.82,2.18,0.95,1.05
2.01,0.06,0.01,2.92
0.12,3.19,0.39,1.3
0.75,0.86,0.39,3.0
0.37,0.64,3.67,0.32
0.03,2.94,0.39,1.64
2.2,0.91,1.75,0.14
1.16,0.34,1.5,2.0
1.42,1.3,1.21,1.07
1.16,0.71,0.65,2.48
0.77,2.49,0.7,1.04
1.63,0.45,1.73,1.19
0.8,1.44,1.47,1.29
2.08,0.34,2.01,0.57
2.06,0.94,0.92,1.08
1.08,2.47,0.39,1.06
1.05,0.07,2.63,1.25
0.15,1.54,2.58,0.73
1.35,2.08,1.42,0.15
1.55,2.26,0.08,1.11
1.91,0.93,1.77,0.39
1.25,2.37,0.84,0.54
1.58,1.78,1.19,0.45
1.78,1.33,1.59,0.3
1.41,0.55,0.07,2.97
1.08,0.01,3.29,0.62
0.97,0.24,0.65,3.14
1.12,1.03,0.25,2.6
2.23,1.42,0.49,0.86
0.32,2.32,1.82,0.54
0.38,1.07,1.89,1.66
1.37,1.11,0.58,1.94
0.01,1.43,3.17,0.39
2.45,0.65,1.89,0.01
2.07,0.64,0.15,2.14
0.88,1.02,2.79,0.31
0.44,2.65,1.84,0.07
1.31,1.21,0.05,2.43
1.28,2.24,0.98,0.5
1.06,2.18,1.24,0.52
1.04,2.24,1.59,0.13
0.78,2.16,1.93,0.13
0.25,3.15,1.25,0.35
0.73,2.64,1.18,0.45
1.76,2.09,0.56,0.59
2.18,1.83,0.27,0.72
2.06,1.14,0.75,1.05
0.48,2.37,1.34,0.81
1.65,1.9,0.16,1.29
2.12,1.82,0.66,0.4
1.04,0.33,3.14,0.49
0.29,0.73,0.41,3.57
0.28,2.16,1.18,1.38
1.36,0.77,0.74,2.13
2.27,0.03,2.39,0.31
0.22,1.56,1.15,2.07
0.47,1.22,0.67,2.64
0.13,0.73,2.08,2.06
0.19,0.52,3.94,0.35
2.36,1.3,1.33,0.01
1.43,0.05,1.92,1.6
0.86,1.15,1.08,1.91
1.02,1.54,2.16,0.28
0.09,2.56,1.86,0.49
0.96,2.15,1.22,0.67
2.47,0.19,1.96,0.38
2.11,1.69,0.35,0.85
2.38,0.28,0.25,2.09
1.46,0.08,3.32,0.14
0.35,1.7,1.52,1.43
1.49,0.98,2.47,0.06
0.91,1.19,0.13,2.77
0.98,2.43,1.2,0.39
0.78,2.09,1.1,1.03
0.43,1.99,1.43,1.15
0.05,2.89,1.37,0.69
1.43,0.86,1.65,1.06
0.36,1.48,0.36,2.8
1.92,1.83,0.58,0.67
2.28,0.52,1.98,0.22
2.37,1.11,0.56,0.96
